date,league,home_team,away_team,home_goals,away_goals
2023-07-21T16:00:00+00:00,Ekstraklasa,Warta Poznań,Pogon Szczecin,0,1
2023-07-21T18:30:00+00:00,Ekstraklasa,Legia Warszawa,ŁKS Łódź,3,0
2023-07-22T13:00:00+00:00,Ekstraklasa,Stal Mielec,Cracovia Krakow,2,2
2023-07-22T15:30:00+00:00,Ekstraklasa,Raków Częstochowa,Jagiellonia,3,0
2023-07-22T18:00:00+00:00,Ekstraklasa,Piast Gliwice,Lech Poznan,1,2
2023-07-23T13:00:00+00:00,Ekstraklasa,Gornik Zabrze,Radomiak Radom,0,2
2023-07-23T15:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Ruch Chorzów,2,1
2023-07-23T18:00:00+00:00,Ekstraklasa,Widzew Łódź,Puszcza Niepołomice,3,2
2023-07-24T17:00:00+00:00,Ekstraklasa,Korona Kielce,Slask Wroclaw,1,1
2023-07-28T18:30:00+00:00,Ekstraklasa,Ruch Chorzów,ŁKS Łódź,2,0
2023-07-29T13:00:00+00:00,Ekstraklasa,Warta Poznań,Gornik Zabrze,2,0
2023-07-29T15:30:00+00:00,Ekstraklasa,Jagiellonia,Puszcza Niepołomice,4,1
2023-07-29T18:00:00+00:00,Ekstraklasa,Slask Wroclaw,Zaglebie Lubin,1,2
2023-07-30T13:00:00+00:00,Ekstraklasa,Stal Mielec,Piast Gliwice,0,0
2023-07-30T15:30:00+00:00,Ekstraklasa,Lech Poznan,Radomiak Radom,2,0
2023-07-30T18:00:00+00:00,Ekstraklasa,Pogon Szczecin,Widzew Łódź,2,1
2023-08-04T16:00:00+00:00,Ekstraklasa,Jagiellonia,Widzew Łódź,2,1
2023-08-04T18:30:00+00:00,Ekstraklasa,ŁKS Łódź,Korona Kielce,2,1
2023-08-05T13:00:00+00:00,Ekstraklasa,Raków Częstochowa,Warta Poznań,2,2
2023-08-05T15:30:00+00:00,Ekstraklasa,Gornik Zabrze,Piast Gliwice,0,0
2023-08-05T18:00:00+00:00,Ekstraklasa,Radomiak Radom,Cracovia Krakow,0,1
2023-08-06T15:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Lech Poznan,1,1
2023-08-06T18:00:00+00:00,Ekstraklasa,Legia Warszawa,Ruch Chorzów,3,0
2023-08-07T17:00:00+00:00,Ekstraklasa,Puszcza Niepołomice,Stal Mielec,1,0
2023-08-11T16:00:00+00:00,Ekstraklasa,Cracovia Krakow,Zaglebie Lubin,2,1
2023-08-11T18:30:00+00:00,Ekstraklasa,Piast Gliwice,Raków Częstochowa,2,1
2023-08-12T13:00:00+00:00,Ekstraklasa,Stal Mielec,Slask Wroclaw,3,1
2023-08-12T15:30:00+00:00,Ekstraklasa,Korona Kielce,Gornik Zabrze,0,1
2023-08-12T18:00:00+00:00,Ekstraklasa,Widzew Łódź,ŁKS Łódź,1,0
2023-08-13T13:00:00+00:00,Ekstraklasa,Pogon Szczecin,Radomiak Radom,0,2
2023-08-13T15:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Legia Warszawa,1,1
2023-08-14T17:00:00+00:00,Ekstraklasa,Warta Poznań,Ruch Chorzów,2,2
2023-08-18T16:00:00+00:00,Ekstraklasa,Zaglebie Lubin,Puszcza Niepołomice,1,0
2023-08-18T18:30:00+00:00,Ekstraklasa,Gornik Zabrze,Widzew Łódź,1,1
2023-08-19T13:00:00+00:00,Ekstraklasa,Radomiak Radom,Warta Poznań,3,2
2023-08-19T15:30:00+00:00,Ekstraklasa,Raków Częstochowa,Stal Mielec,2,0
