date,league,home_team,away_team,home_goals,away_goals
2021-07-23T16:00:00+00:00,Ekstraklasa,Nieciecza,Stal Mielec,1,1
2021-07-23T18:30:00+00:00,Ekstraklasa,Lech Poznan,Radomiak Radom,0,0
2021-07-24T13:00:00+00:00,Ekstraklasa,Górnik Łęczna,Cracovia Krakow,1,1
2021-07-24T15:30:00+00:00,Ekstraklasa,Jagiellonia,Lechia Gdansk,1,1
2021-07-24T18:00:00+00:00,Ekstraklasa,Legia Warszawa,Wisla Plock,1,0
2021-07-25T13:00:00+00:00,Ekstraklasa,Piast Gliwice,Raków Częstochowa,2,3
2021-07-25T15:30:00+00:00,Ekstraklasa,Slask Wroclaw,Warta Poznań,2,2
2021-07-25T18:00:00+00:00,Ekstraklasa,Pogon Szczecin,Gornik Zabrze,2,0
2021-07-26T16:00:00+00:00,Ekstraklasa,Wisla Krakow,Zaglebie Lubin,3,0
2021-07-30T16:00:00+00:00,Ekstraklasa,Zaglebie Lubin,Górnik Łęczna,3,1
2021-07-30T18:30:00+00:00,Ekstraklasa,Gornik Zabrze,Lech Poznan,1,3
2021-07-31T13:00:00+00:00,Ekstraklasa,Stal Mielec,Piast Gliwice,0,2
2021-07-31T15:30:00+00:00,Ekstraklasa,Nieciecza,Wisla Krakow,2,2
2021-07-31T18:00:00+00:00,Ekstraklasa,Radomiak Radom,Legia Warszawa,3,1
2021-08-01T13:00:00+00:00,Ekstraklasa,Warta Poznań,Pogon Szczecin,1,1
2021-08-01T15:30:00+00:00,Ekstraklasa,Cracovia Krakow,Slask Wroclaw,1,2
2021-08-01T18:00:00+00:00,Ekstraklasa,Jagiellonia,Raków Częstochowa,3,0
2021-08-02T16:00:00+00:00,Ekstraklasa,Lechia Gdansk,Wisla Plock,1,0
2021-08-06T16:00:00+00:00,Ekstraklasa,Górnik Łęczna,Warta Poznań,0,4
2021-08-06T18:30:00+00:00,Ekstraklasa,Lech Poznan,Cracovia Krakow,2,0
2021-08-07T13:00:00+00:00,Ekstraklasa,Jagiellonia,Nieciecza,1,0
2021-08-07T15:30:00+00:00,Ekstraklasa,Gornik Zabrze,Stal Mielec,1,0
2021-08-08T13:00:00+00:00,Ekstraklasa,Pogon Szczecin,Piast Gliwice,1,0
2021-08-08T15:30:00+00:00,Ekstraklasa,Wisla Krakow,Raków Częstochowa,1,2
